AAA,-17.3526,-145.5100
AAB,-26.6964,141.0487
AAC,31.0553,33.8280
AAD,6.0958,46.6375
AAE,36.8268,7.8133
AAF,29.7275,-85.0275
AAH,50.8231,6.1864
AAI,-13.0252,-46.8841
AAJ,3.8987,-55.5779
AAK,0.1853,173.6370
AAL,57.0948,9.8499
AAM,-24.8169,31.5441
AAN,24.2617,55.6092
AAO,9.4302,-64.4707
AAP,-0.3745,117.2501
AAQ,45.0021,37.3473
AAR,56.3033,10.6183
AAS,-3.8825,139.3109
AAT,47.7499,88.0858
AAU,-13.5051,-172.6279
AAV,6.3679,124.7524
AAX,-19.5632,-46.9604
AAY,16.1933,52.1742
AAZ,14.8656,-91.5020
ABA,53.7400,91.3850
ABB,6.2042,6.6653
ABC,38.9485,-1.8635
ABD,30.3679,48.2301
ABE,40.6518,-75.4428
ABF,1.7986,173.0410
ABG,-17.6088,143.1835
ABH,-23.6528,146.5827
ABI,32.4113,-99.6819
ABJ,5.2614,-3.9263
ABK,6.7326,44.2413
ABL,67.1055,-157.8553
ABM,-10.9462,142.4551
ABN,5.5127,-54.0501
ABO,5.4619,-3.2347
ABP,-6.0646,141.0952
ABQ,35.0400,-106.6089
ABR,45.4491,-98.4218
ABS,22.3759,31.6117
ABT,20.2985,41.6362
ABU,-9.0748,124.9033
ABV,9.0068,7.2632
ABX,-36.0668,146.9591
ABY,31.5329,-84.1962
ABZ,57.2019,-2.1978
ACA,16.7571,-99.7531
ACB,44.9886,-85.1984
ACC,5.6052,-0.1668
ACD,8.4978,-77.2741
ACE,28.9455,-13.6052
ACF,40.4347,81.2621
ACH,47.4850,9.5608
ACI,49.7061,-2.2147
ACJ,8.3015,80.4285
ACK,41.2531,-70.0602
ACM,-2.1437,-71.7593
ACN,29.3337,-101.1006
ACO,9.6934,-85.0912
ACP,37.3480,46.1279
ACR,-0.6009,-72.3980
ACS,56.2692,90.5751
ACT,31.6113,-97.2305
ACU,9.1885,-77.9942
ACV,40.9781,-124.1090
ACX,25.0834,104.9608
ACY,39.4562,-74.5775
ACZ,31.0983,61.5439
ADA,36.9822,35.2804
ADB,38.2924,27.1570
ADC,-7.1372,145.7447
ADD,8.9779,38.7993
ADE,12.8296,45.0300
ADF,37.7314,38.4689
ADG,41.8662,-84.0780
ADH,58.6028,125.4090
ADI,-22.4619,14.9793
ADJ,31.9727,35.9916
ADK,51.8836,-176.6428
ADL,-34.9475,138.5334
ADM,34.3030,-97.0196
ADO,-30.4383,137.1370
ADP,7.3367,81.6239
ADQ,57.7500,-152.4940
ADR,33.4517,-79.5262
ADS,32.9686,-96.8364
ADT,34.8052,-96.6720
ADU,38.3257,48.4244
ADV,11.4023,26.1186
ADW,38.8108,-76.8670
ADX,56.3740,-2.8689
ADY,-22.6790,29.0555
ADZ,12.5836,-81.7112
AEA,0.4908,173.8303
AEB,23.7206,106.9600
AEE,10.0536,32.9594
AEG,1.4001,99.4305
AEH,13.8470,20.8443
AEK,-7.3508,146.1940
AEL,43.6815,-93.3672
AEM,45.8413,137.6736
AEO,16.7113,-9.6379
AEP,-34.5594,-58.4155
AEQ,43.9084,120.1510
AER,43.4499,39.9566
AES,62.5604,6.1108
AET,66.5518,-152.6220
AEU,25.8757,55.0330
AEX,31.3258,-92.5467
AEY,65.6566,-18.0720
AFA,-34.5883,-68.4039
AFD,-33.5551,26.8817
AFF,38.9725,-104.8211
AFI,6.8950,-75.0473
AFK,7.2840,81.6440
AFL,-9.8664,-56.1063
AFN,42.8051,-72.0030
AFO,42.7112,-110.9420
AFR,-9.1387,148.3907
AFS,41.6138,64.2330
AFT,-9.1914,160.9486
AFW,32.9904,-97.3195
AFY,38.7264,30.6011
AFZ,36.1681,57.5952
AGA,30.3225,-9.4120
AGB,48.4253,10.9317
AGC,40.3544,-79.9302
AGD,-1.3858,133.8737
AGE,53.7825,7.9196
AGF,44.1742,0.5931
AGG,-4.0571,144.0738
AGH,56.2961,12.8471
AGI,5.8413,-56.6732
AGJ,26.5928,127.2403
AGK,-6.3964,143.8536
AGL,-9.3375,149.1556
AGM,65.6123,-37.6183
AGN,57.4971,-134.5672
AGO,33.2280,-93.2170
AGP,36.6749,-4.4991
AGR,27.1580,77.9610
AGS,33.3699,-81.9645
AGT,-25.4572,-54.8395
AGU,21.6996,-102.3184
AGV,9.5534,-69.2379
AGW,-12.1456,142.1494
AGX,10.8237,72.1760
AGZ,-29.2818,18.8139
AHA,22.9875,83.1961
AHB,18.2404,42.6566
AHC,40.2662,-120.1530
AHD,34.1470,-97.1227
AHE,-14.4281,-146.2570
AHF,40.3416,-99.9078
AHG,-10.3731,56.6098
AHH,45.2811,-92.3754
AHI,-3.3479,128.9271
AHJ,32.5315,102.3522
AHL,2.4740,-59.3208
AHM,42.1903,-122.6606
AHN,33.9488,-83.3256
AHO,40.6321,8.2908
AHS,15.4722,-84.3522
AHU,35.1771,-3.8395
AHY,-20.0158,45.5350
AHZ,45.0874,6.0836
AIA,42.0525,-102.8040
AIC,7.2794,168.8257
AID,40.1086,-85.6130
AIE,-5.1457,144.7307
AIF,-22.6386,-50.4560
AIG,6.5200,23.2600
AIH,-7.3428,141.2675
AII,11.1469,42.7200
AIK,33.6494,-81.6850
AIL,9.2226,-78.0236
AIM,10.2168,169.9830
AIN,70.6380,-159.9950
AIO,41.4073,-95.0469
AIP,31.4338,75.7588
AIR,-10.1874,-59.4575
AIS,-2.6162,176.8022
AIT,-18.8309,-159.7640
AIU,-19.9678,-158.1190
AIV,33.1065,-88.1978
AIW,-27.9950,17.5966
AIY,-16.8516,-42.0456
AIZ,38.0960,-92.5495
AJA,41.9236,8.8029
AJF,29.7833,40.1009
